cid,mw,heavy_atoms,n_carbon,n_oxygen,n_nitrogen,n_sulfur,n_halogen,heteroatoms,logp,molar_refractivity,tpsa,labute_asa,h_donors,h_acceptors,rot_bonds,rings,aromatic_rings,aliphatic_rings,saturated_rings,fraction_csp3,valence_electrons,bertz_complexity,tag_acid,tag_aromatic,tag_chlorine,tag_citrus,tag_fatty,tag_floral,tag_fruity,tag_green,tag_mint,tag_musty,tag_pungent,tag_rose,tag_spicy,tag_sweet,tag_woody,n_tags,primary_tag_id
8093,128.215,9,8,1,0,0,0,1,2.5458,39.44,17.07,57.455,0,1,5,0,0,0,0,0.875,54,76.637,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5,4
8103,102.177,7,6,1,0,0,0,1,1.559,31.2278,20.23,45.358,1,1,4,0,0,0,0,1.0,44,23.361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
8115,143.013,7,4,1,0,0,2,3,1.4806,32.259,9.23,53.554,0,1,4,0,0,0,0,1.0,44,28.871,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,14
8129,116.204,8,7,1,0,0,0,1,1.9491,35.8448,20.23,51.723,1,1,5,0,0,0,0,1.0,50,29.368,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6
8130,114.188,8,7,1,0,0,0,1,2.1557,34.823,17.07,51.09,0,1,5,0,0,0,0,0.8571,48,50.349,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,6
8133,118.176,8,6,2,0,0,0,2,0.7954,32.8128,29.46,50.472,1,2,5,0,0,0,0,1.0,50,31.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
8139,214.349,15,13,2,0,0,0,2,4.0803,63.86,26.3,94.394,0,2,10,0,0,0,0,0.9231,90,143.471,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,6
8158,158.241,11,9,2,0,0,0,2,2.8216,45.6288,37.3,68.615,1,1,7,0,0,0,0,0.8889,66,99.736,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6
8160,160.213,11,8,3,0,0,0,3,1.3662,42.36,35.53,67.682,0,3,6,0,0,0,0,0.875,66,101.51,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,12
8165,176.212,12,8,4,0,0,0,4,0.6026,43.945,44.76,72.796,0,4,7,0,0,0,0,0.875,72,113.625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
8174,158.285,11,10,1,0,0,0,1,3.1194,49.6958,20.23,70.818,1,1,8,0,0,0,0,1.0,68,53.893,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,11
8175,156.269,11,10,1,0,0,0,1,3.326,48.674,17.07,70.185,0,1,8,0,0,0,0,0.9,66,78.942,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,6,2
8184,172.312,12,11,1,0,0,0,1,3.5095,54.3128,20.23,77.183,1,1,9,0,0,0,0,1.0,74,61.404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
8193,186.339,13,12,1,0,0,0,1,3.8996,58.9298,20.23,83.548,1,1,10,0,0,0,0,1.0,80,71.194,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,6
8280,157.169,11,7,3,1,0,0,4,0.7637,37.947,46.61,65.119,0,3,1,1,0,1,1,0.7143,62,213.731,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
8286,397.798,23,19,0,0,0,3,4,4.9153,106.411,0.0,160.02,0,0,11,1,1,0,0,0.6842,134,412.849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
8294,196.29,14,12,2,0,0,0,2,3.2406,59.033,26.3,86.649,0,2,5,0,0,0,0,0.5833,80,236.706,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,11
8297,243.29,13,6,3,1,2,0,7,1.373,59.4447,47.56,87.667,1,5,6,0,0,0,0,0.8333,78,204.056,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
8303,264.75,10,3,1,0,0,6,7,3.2959,45.587,17.07,87.45,0,1,0,0,0,0,0,0.6667,60,124.052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9
8360,197.021,11,5,2,2,0,2,6,1.3368,39.866,40.62,73.866,0,2,0,1,0,1,1,0.6,62,228.522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
8363,228.247,17,14,3,0,0,0,3,2.7492,63.6683,46.53,99.288,1,3,3,2,2,0,0,0.0714,86,505.886,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
8369,126.111,9,6,3,0,0,0,3,0.6538,31.3798,50.44,51.557,1,3,0,1,1,0,0,0.1667,48,261.251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
8400,212.248,16,14,2,0,0,0,2,2.6029,62.1743,37.3,94.174,1,2,3,2,2,0,0,0.0714,80,462.609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
8404,132.206,10,10,0,0,0,0,0,2.5654,43.084,0.0,61.885,0,0,0,2,1,1,0,0.4,52,200.235,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,8
8418,178.234,14,14,0,0,0,0,0,3.993,61.454,0.0,82.795,0,0,0,3,3,0,0,0.0,66,488.759,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
8438,150.133,11,8,3,0,0,0,3,1.2278,37.9525,35.53,63.544,0,3,1,2,1,1,0,0.125,56,293.389,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,11
8442,324.486,22,18,3,0,1,0,4,4.4555,92.1164,35.53,136.406,0,3,10,2,1,1,0,0.6667,124,487.221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
8452,84.118,6,5,1,0,0,0,1,1.1295,23.475,17.07,37.355,0,1,0,1,0,1,1,0.8,34,58.339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8
8467,166.176,12,9,3,0,0,0,3,1.6034,44.6633,46.53,70.596,1,3,3,1,1,0,0,0.2222,64,281.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8469,192.214,14,11,3,0,0,0,3,1.6896,50.689,38.83,82.639,0,3,3,2,1,1,1,0.3636,74,320.564,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
8472,124.076,7,3,3,0,0,0,4,1.1525,27.947,27.69,44.569,0,3,3,0,0,0,0,1.0,44,31.651,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,15
8481,233.676,14,8,3,1,1,1,6,1.5725,53.7845,63.24,86.305,1,3,2,1,1,0,0,0.125,76,438.159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
8554,194.186,14,10,4,0,0,0,4,1.2598,49.121,52.6,81.441,0,4,2,1,1,0,0,0.2,74,321.895,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
8635,151.165,11,8,2,1,0,0,3,1.0554,42.1939,52.32,64.776,1,3,1,1,1,0,0,0.125,58,270.549,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11
8657,134.222,10,10,0,0,0,0,0,2.8114,45.198,0.0,62.891,0,0,2,1,1,0,0,0.4,54,177.948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
8693,251.282,18,13,4,1,0,0,5,2.2152,65.384,65.49,106.121,0,5,6,1,1,0,0,0.4615,98,360.957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
8785,150.177,11,9,2,0,0,0,2,1.7497,41.912,26.3,65.801,0,2,2,1,1,0,0,0.2222,58,228.578,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,7,11
8794,117.151,9,8,0,1,0,0,1,1.7527,35.759,23.79,54.554,0,1,1,1,1,0,0,0.125,44,207.759,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
8815,148.205,11,10,1,0,0,0,1,2.4237,46.895,9.23,67.315,0,1,3,1,1,0,0,0.2,58,223.133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
8821,100.117,7,5,2,0,0,0,2,0.7355,26.83,26.3,42.784,0,2,2,0,0,0,0,0.4,40,76.149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
8842,156.269,11,10,1,0,0,0,1,2.7513,49.5318,20.23,70.128,1,1,5,0,0,0,0,0.8,66,112.041,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5
8846,128.171,9,7,2,0,0,0,2,1.5157,36.064,26.3,55.514,0,2,4,0,0,0,0,0.5714,52,97.089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
8855,106.552,6,4,1,0,0,1,2,1.5519,25.768,17.07,42.299,0,1,2,0,0,0,0,0.75,36,51.51,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10
8857,88.106,6,4,2,0,0,0,2,0.5694,22.307,26.3,37.109,0,2,1,0,0,0,0,0.75,36,49.51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12
